X,Y
63.42491838,23.37345343
40.41351761,38.77323405
59.51877068,25.03667173
41.0896376,38.09302916
46.60884058,30.91082501
55.23810272,55.81626396
35.77813316,33.44457717
40.37984727,64.02788742
56.10327014,36.21350376
67.12710922,34.58162589
47.8204743,26.72878413
32.44110215,13.2571508
37.77339299,43.86308583
33.1234068,37.69236759
55.72111602,34.73992214
45.89569946,20.70418595
40.8715906,54.12067055
65.01632472,57.89773601
34.34661525,36.40676798
43.85094724,41.88375196
44.20482246,52.12357164
55.8863124,45.64270716
52.10296901,45.72620549
53.68336626,36.94594687
52.01311289,41.53834514
24.30126173,33.22481178
54.64533959,38.07719494
38.49329172,16.37340945
57.97290607,18.88995004
47.79454633,42.18786604
41.7201907,58.28422032
50.81907178,19.88921866
57.68203853,30.81306198
30.30648159,45.02517181
53.34766725,28.46695335
49.22524454,17.98922039
63.38009537,32.17215596
44.96630562,35.87544099
73.48363187,22.23251335
59.96903331,38.85170292
59.23061134,43.84558227
39.21754772,37.89034261
57.70309475,37.11365931
40.00808603,30.66764082
48.75580934,52.76640173
38.95544512,30.06677895
48.97442716,31.6959362
58.89998589,32.3187578
49.90428001,36.19489868
63.02597541,28.83937483
58.58002032,29.9813899
49.18102838,29.99385587
41.97637609,20.9364109
63.62329209,40.45927572
52.81845669,32.74036742
43.1910504,37.53911904
56.85934557,33.65392811
57.69239316,46.513908
49.00268405,53.09722385
37.8391074,55.46324839
57.56835649,23.121175
48.72649281,29.67466421
40.47609901,53.00898785
57.99041655,41.04118266
57.4356292,46.04441589
48.69036411,41.18379468
57.72051374,36.86586778
54.67670536,44.49547124
67.30915516,61.23911791
58.68152192,55.03643335
56.9338044,42.09358209
41.99356019,41.45577315
62.43071073,52.95163424
44.66591444,28.65138349
53.09577579,52.86663174
43.66090481,27.6076026
50.65465001,40.24568374
58.57616383,22.81676232
62.32194325,50.2012894
38.91966448,41.16920461
27.01782305,47.52076437
61.14714096,34.71652385
54.22724851,33.25677436
42.51150799,42.65525832
43.65854446,49.8588762
75.88052854,54.94053981
48.7316183,32.80403785
64.8905715,28.23246322
54.86258333,62.85612045
46.0755562,43.43519193
45.27751626,40.79158
41.05454444,33.57309947
45.48358242,43.39352188
55.38395985,54.53405974
51.51977236,46.71126138
57.65625056,34.91499403
60.64622741,42.1116774
47.53238906,36.50525066
30.68362784,45.23461641
41.0331567,58.26756493
61.6221471,60.27630316
41.39838601,36.28952595
49.69932064,34.89086344
38.43946569,35.06269071
45.07981298,47.62465723
54.43706036,34.45004149
64.92326379,44.46305114
53.26331762,31.11560815
62.26876896,31.33986119
77.14422374,49.64085414
47.53705505,44.01612196
53.38017196,14.57451257
37.53451714,28.6611874
45.08002211,25.02313415
33.87269364,53.94790229
50.92575839,30.2515036
50.118303,43.87408385
44.99409071,47.50228387
61.03526801,49.7403827
39.73147671,54.32160144
53.12426562,53.81875769
32.46142927,42.18849211
47.06486287,41.147853
47.42474205,50.36766736
80.06062352,36.3371279
51.95873912,33.23872378
39.88816705,59.13949421
49.93147442,22.69151015
53.1970132,31.62229654
56.75860856,23.26336956
57.97296319,27.61697881
75.07707453,38.58426277
65.8893047,18.87619726
32.60233735,10.27221479
62.15379532,47.14097574
54.68662088,36.91540677
30.79050558,36.85411106
59.14443252,33.62650127
50.87511776,35.32910425
40.97961963,48.39691164
54.79577672,37.0924578
45.75993078,28.63718657
44.8934364,41.03533191
51.42753651,51.07250184
37.56338143,39.54830773
42.03185727,51.82250713
51.606503,53.12940674
39.51506981,36.20957329
56.70859545,41.97119853
42.86504224,57.61448628
36.57924253,43.81626661
51.34499638,34.71953929
59.74687898,35.77448496
46.10485483,36.75232779
43.1404915,41.80407296
40.34860867,35.75376434
59.18282457,34.72709132
29.11045657,27.55416582
63.95623485,46.8727427
29.85406173,20.43009674
57.28598974,22.34393511
40.35734302,32.88744793
59.62597663,54.66226374
54.3406874,44.65628308
53.83402767,47.54002485
52.03645187,41.2547219
48.5234114,37.25356643
38.53008949,18.28426121
45.90257849,43.72082329
58.19289857,36.73974173
40.44601537,47.78906282
53.25259836,41.90068589
35.57651404,40.64329387
67.04735113,37.92797913
51.06258592,27.42428078
37.78670969,39.23881128
53.5790801,40.09876495
60.26254671,45.4976992
38.04817446,53.66710326
56.94529261,50.48637014
53.95425223,27.6569425
41.10326391,38.66262387
45.67160985,44.77399964
58.71528733,35.58819498
47.92238603,63.78048153
53.13299893,34.06089451
67.7335261,32.23599888
40.64844494,39.63684886
39.26947791,29.01379043
54.46344405,38.85159049
58.50094675,44.70103441
57.77280811,21.7210224
41.13541321,24.53052713
47.51791229,35.78590722
38.64476326,31.82713073
71.19750625,35.2877736
39.97857397,47.24459489
48.3032483,54.76629631
47.19554454,40.25673206
58.6396519,40.39207396
44.25108759,44.77825973
41.94076389,32.24123491
55.60331238,38.03714481
48.33182305,42.39741372
47.90771699,40.87066487
38.20963689,53.03253387
42.49630623,48.70032156
61.69218612,44.50837839
53.07584642,47.82779365
49.46990589,39.50979714
25.97611316,45.61504804
58.27897221,36.5966656
48.65846937,33.60301872
44.06558325,24.62818256
59.93731453,42.2703928
49.68132671,47.03850544
67.2984464,25.66098529
57.00222877,39.55574607
56.11359994,20.66176706
49.68427693,46.02948441
56.79759358,51.90865978
41.0230207,40.54671648
53.75377495,41.06076339
48.49417388,33.72438142
43.49991668,37.47730963
58.813154,42.73533808
35.20602977,30.78299262
46.54999245,34.64327819
50.75691002,40.63755384
41.399953,33.04493533
43.1864636,31.9998285
54.63991319,37.17017303
39.39021652,62.00733534
41.72141918,45.99273755
71.16519536,25.83705535
54.9859363,37.80577193
53.13873194,42.06689274
49.7187656,45.15627436
69.25499557,37.7915028
67.21612922,52.95786046
57.58083808,40.69364272
61.85618541,52.1040376
46.56658791,44.99202792
50.96871337,41.80352903
51.21887568,33.22655097
